Data;ID_venda;Filial;Vendedor;Nome_produto;Nome_cliente;Genero_cliente;Forma_pagamento
30/03/2021;361946;Belo Horizonte;Sr. Valentim Duarte;Vizzano;Rhavi Cunha;Masculino;PIX
30/03/2021;787404;Rio de Janeiro;Dr. Luigi Nascimento;Blazer;Brayan da Mata;Feminino;Cartão de crédito
05/03/2021;713828;Rio de Janeiro;Pedro Aparecida;Nemeziz;Juan Silveira;Feminino;Cartão de crédito
31/03/2021;232404;Curitiba;Gael Henrique Siqueira;Cambio;Yan Alves;Feminino;Cartão de crédito
29/03/2021;614673;Porto Alegre;Igor Porto;Papete;Maria Isis Nascimento;Masculino;PIX
25/03/2021;287353;São Paulo;Valentim da Paz;Tiririca;João Miguel Novaes;Masculino;Cartão de crédito
23/03/2021;760286;Rio de Janeiro;João da Luz;Blazer;Júlia Vasconcelos;Masculino;Cartão de débito
28/03/2021;141665;Curitiba;Sr. Luan Fernandes;Rasteira;Paulo Santos;Feminino;PIX
26/03/2021;125717;Belo Horizonte;Francisco Macedo;Mercurial;Juliana Silva;Masculino;Cartão de crédito
31/03/2021;701962;Curitiba;Pedro Henrique Casa Grande;Dunk;Isabella Moreira;Feminino;PIX
27/03/2021;322036;Porto Alegre;Marina da Mota;Havaianas;Juan Ramos;Feminino;PIX
09/03/2021;230694;Rio de Janeiro;Leandro da Costa;Air Force 1;Amanda Brito;Masculino;Cartão de crédito
14/03/2021;368015;Curitiba;Sr. Luan Fernandes;Melissa;Mariana Vieira;Feminino;Cartão de débito
31/03/2021;245848;Curitiba;Samuel das Neves;Papete;Cecilia Moreira;Masculino;PIX
26/03/2021;142579;Belo Horizonte;Thales Viana;Anabela;Maria Cecília da Cruz;Feminino;Cartão de débito
14/03/2021;278105;São Paulo;Murilo Cavalcante;Blazer;Ana Julia Dias;Feminino;PIX
19/03/2021;409454;Belo Horizonte;Francisco Macedo;Nemeziz;Antônio Camargo;Masculino;Cartão de crédito
30/03/2021;791417;Belo Horizonte;Maitê Jesus;Anabela;Noah Sampaio;Feminino;Cartão de crédito
15/03/2021;732852;São Paulo;Theo da Cruz;Havaianas;Sra. Evelyn Pacheco;Feminino;Cartão de crédito
27/03/2021;943059;Curitiba;Luiz Henrique Nogueira;Tiririca;Srta. Ana Laura Castro;Masculino;Cartão de crédito
07/03/2021;715588;Curitiba;Oliver Sales;Lacoste;Sra. Emanuella Melo;Feminino;PIX
24/03/2021;835075;Curitiba;Oliver Sales;Beira Rio;Lucas Rodrigues;Masculino;Cartão de débito
13/03/2021;623405;São Paulo;Pedro Lucas da Luz;Papete;Sr. Francisco Alves;Masculino;PIX
14/03/2021;249557;Porto Alegre;Isabelly Cirino;Mercurial;Yasmin Pacheco;Masculino;Cartão de crédito
20/03/2021;400936;Porto Alegre;Igor Porto;Jordan;Lívia Duarte;Masculino;PIX
05/03/2021;647526;Belo Horizonte;Francisco Macedo;Tiririca;Beatriz Rocha;Masculino;PIX
24/03/2021;907507;São Paulo;Pedro Lucas da Luz;Mercurial;Srta. Ana Julia Camargo;Masculino;Cartão de débito
31/03/2021;125764;Rio de Janeiro;João Miguel Fonseca;Palace;Leandro Lima;Feminino;PIX
21/03/2021;245914;Porto Alegre;Mathias Leão;Nemeziz;Bruna Abreu;Masculino;Cartão de crédito
01/03/2021;177801;Belo Horizonte;Francisco Macedo;Melissa;Dr. Arthur Miguel Siqueira;Feminino;Cartão de crédito
28/03/2021;708747;São Paulo;Theo da Cruz;Rasteira;Pietra Cavalcante;Feminino;PIX
21/03/2021;891080;Curitiba;Samuel das Neves;Anabela;Maria Fogaça;Feminino;PIX
18/03/2021;932225;Rio de Janeiro;Leandro da Costa;Blazer;Catarina Dias;Masculino;Cartão de débito
21/03/2021;292727;Porto Alegre;Marina da Mota;Palace;Clara Montenegro;Masculino;PIX
07/03/2021;763423;Belo Horizonte;Sr. Valentim Duarte;Air Force 1;Erick Monteiro;Masculino;PIX
29/03/2021;369083;Porto Alegre;Mathias Leão;Dunk;Davi Luiz Cavalcanti;Feminino;PIX
06/03/2021;371602;Rio de Janeiro;Leandro da Costa;Dunk;Josué Aragão;Masculino;Cartão de crédito
30/03/2021;978441;Porto Alegre;Igor Porto;Beira Rio;Ana Lívia Cardoso;Feminino;Cartão de débito
07/03/2021;810859;Rio de Janeiro;Pedro Aparecida;Topper;Maria Vitória Moura;Masculino;Cartão de débito
07/03/2021;769751;Rio de Janeiro;João Miguel Fonseca;Predator;Srta. Manuela Caldeira;Feminino;PIX
20/03/2021;134893;Curitiba;Sr. Luan Fernandes;Cambio;Sarah Nunes;Feminino;Cartão de débito
02/03/2021;114980;Belo Horizonte;Sr. Valentim Duarte;Cambio;Daniela da Cunha;Masculino;PIX
26/03/2021;724790;Porto Alegre;Enzo Gabriel Guerra;Blazer;Dr. Ravi Lucca Guerra;Masculino;PIX
04/03/2021;932504;Belo Horizonte;Maitê Jesus;Mercurial;Júlia Pastor;Feminino;Cartão de crédito
01/03/2021;769915;Rio de Janeiro;Dr. Breno Ramos;Air Force 1;Bryan Campos;Masculino;Cartão de crédito
24/03/2021;176436;Belo Horizonte;Francisco Macedo;Alpargata;Benjamin da Paz;Masculino;Cartão de crédito
04/03/2021;827913;Porto Alegre;Dr. Davi Luiz Rezende;Palha;Beatriz Lopes;Feminino;Cartão de crédito
07/03/2021;328142;Porto Alegre;Enzo Gabriel Guerra;Palace;Maria Helena Rezende;Masculino;Cartão de débito
